Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy
2400,2400,48,3,blok,2,plastikowe,miejskie,do zamieszkania,52.23161807413726,21.06634282355652,,,,
2400,3000,45,2,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.28919351655398,20.930775611547848,500,5,cegła,2014
2600,,40,2,apartamentowiec,4,plastikowe,miejskie,do zamieszkania,52.199425042623545,21.044629977771002,,6,pustak,2018
2300,2500,54,2,blok,1,plastikowe,miejskie,do zamieszkania,52.287912466624306,21.054127782556154,400,5,,2007
2950,,54,3,blok,3,drewniane,miejskie,do zamieszkania,52.15352334541808,21.082662142639162,350,4,cegła,2016
2600,3500,39,2,blok,6,plastikowe,miejskie,do zamieszkania,52.2318521,20.996083,,10,,
4300,6000,82,2,blok,2,drewniane,miejskie,do zamieszkania,,,,6,,
3000,3000,38,2,blok,1,plastikowe,miejskie,do zamieszkania,52.2440581,21.008994,,2,cegła,
1515,,52,2,blok,,plastikowe,,,52.241762,21.0242469,,,,
1900,2500,24,1,blok,4,plastikowe,miejskie,do zamieszkania,52.2362285,20.9458066,,9,,
2700,2700,44,2,apartamentowiec,2,,miejskie,do zamieszkania,52.18752103726774,21.0056629645569,,,,2016
8000,,52,2,apartamentowiec,4,drewniane,miejskie,do zamieszkania,52.24823015150241,21.029711187805177,700,7,cegła,2017
4400,4400,97,4,blok,5,plastikowe,miejskie,do zamieszkania,52.18632232176907,21.062267297887146,,5,,2008
1700,1700,31,1,blok,parter,plastikowe,miejskie,do zamieszkania,,,,4,beton,1963
2400,,51,2,blok,2,plastikowe,kotłownia,do zamieszkania,,,300,3,silikat,2008
1990,2500,30.5,1,kamienica,2,plastikowe,miejskie,do zamieszkania,52.24429800075569,20.995630724055005,500,4,cegła,
2950,2950,50,2,kamienica,2,plastikowe,miejskie,do zamieszkania,52.25286175570025,20.99741855923762,,3,cegła,1955
3200,3200,60,2,kamienica,3,,,do zamieszkania,52.228181,21.0125682,,5,,1984
3900,4500,65,3,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.1836535,21.0266811,600,,,2018
2200,2500,54,2,blok,2,plastikowe,miejskie,do zamieszkania,52.2447864,20.9234767,250,2,,
2500,2200,50,2,blok,9,plastikowe,miejskie,do zamieszkania,52.28907708790291,21.032733371936033,,12,wielka płyta,
3800,,48.92,2,apartamentowiec,3,,miejskie,do zamieszkania,52.2519341,20.9998225,,8,,2018
2300,2000,45,2,blok,1,plastikowe,miejskie,do zamieszkania,,,,,cegła,
2800,5000,43,2,apartamentowiec,4,plastikowe,miejskie,do zamieszkania,,,,6,cegła,2019
3000,3500,45,2,blok,4,drewniane,miejskie,do zamieszkania,52.17637695668199,20.999533251190186,600,7,,2017
2500,3000,47,2,blok,4,plastikowe,miejskie,do zamieszkania,,,500,7,cegła,2019
2800,3300,70,3,blok,3,,miejskie,,52.1743,21.0233,500,10,wielka płyta,1990
