Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy,Czas dojazdu do centrum
2400,2400.0,48.0,3,blok,2,plastikowe,miejskie,do zamieszkania,52.23161807413726,21.066342823556518,,,,,25.0
2400,3000.0,45.0,2,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.28919351655397,20.930775611547848,500.0,5.0,cegła,2014.0,36.0
2600,,40.0,2,apartamentowiec,4,plastikowe,miejskie,do zamieszkania,52.19942504262354,21.044629977771002,,6.0,pustak,2018.0,31.0
2300,2500.0,54.0,2,blok,1,plastikowe,miejskie,do zamieszkania,52.28791246662432,21.054127782556158,400.0,5.0,,2007.0,46.0
2950,,54.0,3,blok,3,drewniane,miejskie,do zamieszkania,52.15352334541808,21.082662142639162,350.0,4.0,cegła,2016.0,47.0
2600,3500.0,39.0,2,blok,6,plastikowe,miejskie,do zamieszkania,52.2318521,20.996083,,10.0,,,11.0
4300,6000.0,82.0,2,blok,2,drewniane,miejskie,do zamieszkania,,,,6.0,,,
3000,3000.0,38.0,2,blok,1,plastikowe,miejskie,do zamieszkania,52.244058100000004,21.008994,,2.0,cegła,,22.0
1515,,52.0,2,blok,,plastikowe,,,52.241762,21.024246899999998,,,,,22.0
1900,2500.0,24.0,1,blok,4,plastikowe,miejskie,do zamieszkania,52.236228499999996,20.9458066,,9.0,,,24.0
2700,2700.0,44.0,2,apartamentowiec,2,,miejskie,do zamieszkania,52.18752103726774,21.005662964556898,,,,2016.0,33.0
8000,,52.0,2,apartamentowiec,4,drewniane,miejskie,do zamieszkania,52.24823015150241,21.029711187805177,700.0,7.0,cegła,2017.0,29.0
4400,4400.0,97.0,4,blok,5,plastikowe,miejskie,do zamieszkania,52.18632232176907,21.062267297887143,,5.0,,2008.0,34.0
1700,1700.0,31.0,1,blok,parter,plastikowe,miejskie,do zamieszkania,,,,4.0,beton,1963.0,
2400,,51.0,2,blok,2,plastikowe,kotłownia,do zamieszkania,,,300.0,3.0,silikat,2008.0,
1990,2500.0,30.5,1,kamienica,2,plastikowe,miejskie,do zamieszkania,52.24429800075569,20.995630724055005,500.0,4.0,cegła,,21.0
2950,2950.0,50.0,2,kamienica,2,plastikowe,miejskie,do zamieszkania,52.25286175570025,20.99741855923762,,3.0,cegła,1955.0,21.0
3200,3200.0,60.0,2,kamienica,3,,,do zamieszkania,52.228181,21.0125682,,5.0,,1984.0,12.0
3900,4500.0,65.0,3,apartamentowiec,3,plastikowe,miejskie,do zamieszkania,52.1836535,21.0266811,600.0,,,2018.0,30.0
2200,2500.0,54.0,2,blok,2,plastikowe,miejskie,do zamieszkania,52.2447864,20.9234767,250.0,2.0,,,41.0
2500,2200.0,50.0,2,blok,9,plastikowe,miejskie,do zamieszkania,52.28907708790291,21.032733371936036,,12.0,wielka płyta,,38.0
3800,,48.92,2,apartamentowiec,3,,miejskie,do zamieszkania,52.2519341,20.9998225,,8.0,,2018.0,23.0
2300,2000.0,45.0,2,blok,1,plastikowe,miejskie,do zamieszkania,,,,,cegła,,
2800,5000.0,43.0,2,apartamentowiec,4,plastikowe,miejskie,do zamieszkania,,,,6.0,cegła,2019.0,
3000,3500.0,45.0,2,blok,4,drewniane,miejskie,do zamieszkania,52.176376956682,20.999533251190183,600.0,7.0,,2017.0,40.0
2500,3000.0,47.0,2,blok,4,plastikowe,miejskie,do zamieszkania,,,500.0,7.0,cegła,2019.0,
2800,3300.0,70.0,3,blok,3,,miejskie,,52.1743,21.0233,500.0,10.0,wielka płyta,1990.0,29.0
2200,2600.0,36.0,2,blok,parter,drewniane,miejskie,do zamieszkania,52.23614,21.00817,400.0,4.0,cegła,2018.0,12.383333333333333
2900,2900.0,50.0,2,apartamentowiec,> 10,drewniane,miejskie,do zamieszkania,52.16927077321943,21.02015407409668,300.0,14.0,cegła,2010.0,37.0
2600,3000.0,42.0,2,kamienica,5,plastikowe,miejskie,do zamieszkania,52.20556,21.07452,400.0,5.0,cegła,1925.0,37.0
2500,,34.0,1,apartamentowiec,2,drewniane,,,52.226217999999996,20.98152,,6.0,,2014.0,22.0
2700,3000.0,50.0,2,apartamentowiec,1,plastikowe,miejskie,do zamieszkania,52.1780096,20.9964656,500.0,8.0,cegła,,31.0
4000,4700.0,55.0,2,kamienica,,plastikowe,miejskie,do zamieszkania,52.2076567,21.0302943,700.0,,cegła,1937.0,20.0
3100,3100.0,52.0,2,apartamentowiec,4,plastikowe,miejskie,do zamieszkania,52.23546023634302,20.98024098144532,,6.0,,,20.0
3150,,42.1,3,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,,,,8.0,cegła,2018.0,
1700,,35.1,1,blok,2,plastikowe,miejskie,do zamieszkania,,,,4.0,,,
3800,3800.0,65.0,3,apartamentowiec,10,,,,,,1.0,16.0,cegła,,
3000,3000.0,70.0,3,blok,parter,drewniane,miejskie,do zamieszkania,52.2686547,20.94514690000005,,4.0,cegła,1995.0,34.0
3000,3000.0,45.0,2,apartamentowiec,5,drewniane,miejskie,do zamieszkania,52.1855391,21.004877299999976,200.0,7.0,cegła,2016.0,35.0
4999,,102.0,4,blok,> 10,plastikowe,miejskie,do zamieszkania,52.193495670446,21.059935948132324,,13.0,,,35.0
2950,2950.0,52.0,2,apartamentowiec,1,drewniane,miejskie,do zamieszkania,,,,3.0,cegła,,
