Cena,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Okna,Rok budowy,Stan wykończenia,Czynsz,Forma własności,φ,λ,Ogrzewanie,Czas dojazdu do centrum
850000.0,60.0,3,wtórny,kamienica,2,3.0,cegła,plastikowe,1950.0,do zamieszkania,541 zł,spółdzielcze wł. z KW,52.2010249,21.027389399999997,,35.0
850000.0,63.0,3,wtórny,kamienica,2,4.0,cegła,drewniane,,do zamieszkania,700 zł,pełna własność,52.23004053580283,21.021544525399737,miejskie,13.0
695000.0,69.5,3,wtórny,apartamentowiec,2,7.0,,plastikowe,,,635 zł,pełna własność,52.206864,20.954589000000002,miejskie,38.0
670000.0,63.0,3,wtórny,kamienica,3,4.0,,plastikowe,1925.0,do zamieszkania,,pełna własność,,,miejskie,
520000.0,55.0,4,wtórny,blok,3,4.0,,,,do remontu,,pełna własność,,,miejskie,
498000.0,64.0,3,wtórny,blok,1,3.0,wielka płyta,drewniane,1986.0,,750 zł,pełna własność,52.1590633,21.021209699999996,miejskie,32.0
358000.0,37.0,2,wtórny,blok,2,10.0,inne,drewniane,1974.0,,550 zł,spółdzielcze własnościowe,52.258857299999995,21.058085300000002,miejskie,29.0
690000.0,83.0,4,wtórny,blok,2,,,plastikowe,1982.0,,,,,,miejskie,
557000.0,49.0,2,pierwotny,,2,,,,,,,,52.2350158,21.0059342,,9.716666666666667
1240000.0,77.46,3,wtórny,,4,8.0,,,2013.0,,,pełna własność,52.234738,20.985,,19.0
599000.0,62.0,3,pierwotny,,2,,,,,,,,52.2350158,21.0059342,,9.716666666666667
2500000.0,180.0,5,wtórny,,parter,4.0,,,2008.0,,,,52.1623348,21.077747,,46.0
990000.0,90.0,3,wtórny,apartamentowiec,1,4.0,,drewniane,2008.0,do zamieszkania,,,52.16132332,21.077528,,46.0
314000.0,39.0,2,pierwotny,,parter,,,,,,,,52.3411885,20.9407195,,63.0
