Nazwa,φ,λ
Metro Kabaty,52.13104665,21.0655178152655
Metro Natolin,52.140341,21.0566849
Metro Imielin,52.1492949,21.0457879
Metro Stokłosy,52.1568338,21.0338198
Metro Ursynów,52.1619,21.0278
Metro Służew,52.1732466,21.0257137
Metro Wilanowska,52.179845,21.0237152858844
Metro Wierzbno,52.188821,21.0176929
Metro Racławicka,52.1993449,21.0122269
Metro Pole Mokotowskie,52.2116285,21.0086583
Metro Politechnika,52.217484,21.0150112
Metro Centrum,52.2299433,21.0109076
Metro Świętokrzyska,52.2351098,21.0090941
Metro Ratusz Arsenał,52.2447,21.0005
Metro Dworzec Gdański,52.25757645,20.9945537017731
Metro Plac Wilsona,52.2692842,20.9838197
Metro Marymont,52.2721924,20.9686026
Metro Słodowiec,52.2761345,20.9615793
Metro Stare Bielany,52.281608,20.9498193
Metro Wawrzyszew,52.2858639,20.9406427
Metro Młociny,52.2909257,20.9296457
Metro Rondo Daszyńskiego,52.22973435,20.983233875
Metro Rondo ONZ,52.2339056,21.001676
Metro Świętokrzyska,52.2351098,21.0090941
Metro Nowy Świat-Uniwersytet,52.2368836,21.0176499
Metro Centrum Nauki Kopernik,52.2397646,21.0313013
Metro Stadion Narodowy,52.247645,21.0429127
Metro Dworzec Wileński,52.2537893,21.0357905978382
Metro Szwedzka,52.2634264,21.0453572
Metro Targówek Mieszkaniowy,52.2697779,21.0512809
Metro Trocka,52.2757488,21.0561751
